date,ES,NQ,ZN
2019-01-24,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-25,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-28,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-29,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-01,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-05,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-06,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-07,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-08,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-11,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-21,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-02-26,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-01,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-04,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-05,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-06,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-07,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-03-08,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-11,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-12,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-13,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-20,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-21,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-22,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-25,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-26,1.095281431650558,-4.564913491668364,4.366185100504767
2019-03-27,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-01,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-02,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-03,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-04,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-05,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-09,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-10,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-11,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-17,1.095281431650558,-4.564913491668364,4.366185100504767
2019-04-26,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-02,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-03,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-07,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-08,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-09,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-10,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-13,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-14,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-15,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-16,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-22,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-23,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-24,1.095281431650558,-4.564913491668364,4.366185100504767
2019-05-29,1.095281431650558,-4.564913491668364,4.366185100504767
2019-06-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-04,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-07,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-13,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-06-26,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-01,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-02,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-03,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-05,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-08,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-09,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-10,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-11,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-12,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-17,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-18,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-22,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-23,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-24,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-25,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-26,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-07-29,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-02,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-06,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-07,0.7173201753889161,-5.33099736805443,4.184744996857731
2019-08-08,0.7173201753889161,-5.33099736805443,4.184744996857731
